Year,West_Bengal_Population_Numbers,HDD,POP_W_HDD
2010,88622660.0,20.55920560454215,16.049939155057267
2015,94596290.0,18.247580255874492,13.318566102640183
2020,101023780.0,18.734091331923953,12.346079921700927
2025,107376180.0,20.948692544601307,11.54278031812444
2030,112278660.0,21.56176193674788,11.85392306628335
2035,116645380.0,16.709249120910385,8.852560721221156
2040,120449230.0,17.474506881894293,9.162917769533077
2045,123780070.0,15.125167311955881,7.617940239893302
2050,126453540.0,14.987245476946226,7.372288145127314
2055,128381590.0,10.853163856697808,5.235191557710655
2060,129517560.0,12.840769088429635,6.069111191109267
2065,129979650.0,13.215028921509075,6.24619351445403
2070,129717096.0,12.64841451902752,5.825881765202199
2075,128738120.0,9.286081851609092,4.241852799069171
2080,127185660.0,12.454240793844393,5.613255651169893
2085,125137420.0,10.591838587893994,4.75010468295756
2090,122674280.0,9.201026902573828,3.0798123618727127
2095,119806590.0,10.66422345689285,3.899521349376582
2100,116743740.0,12.740978516941103,5.154005058592125
